Date,A,ADI,AMAT,ATVI,BA,BXP,CAT,CHRW,CNC,CVS,EQIX,F,FDS,FE,FLT,FRC,INTC,INTU,KMX,LKQ,LUV,MRK,MSCI,NOW,PHM,PNC,PWR,SHW,SPGI,STE,SWKS,TFC,TSN,TT,WBA,Mkt-RF,SMB,HML,RF
2015-02,0.1175535761953197,0.12339282728579493,0.09676002932172723,0.1157894794480443,0.037696988170843104,-0.010014404604372529,0.03663874278417856,0.04324630410367569,0.12605344489936265,0.05817032265124866,0.03375445930474785,0.11080898097987024,0.08329275728737628,-0.1326556421006354,0.09202841762121894,0.11940302532773295,0.006355904317604466,0.12451045377322423,0.08067636488458674,-0.04765593055743278,-0.04293932301029091,-0.028865289237507974,0.04254925545359245,0.046090542387146494,0.09567747929845893,0.08776908077348389,0.0868580507616934,0.051351054217413816,0.15272803734172258,-0.010732974003908935,0.056592375382732873,0.07820907480676276,0.05814550216521197,0.011897564621203616,0.12650849940413145,6.13,0.6,-1.86,0.0
2015-03,-0.015636101912518074,0.07618720558116143,-0.09940119149521975,-0.025300178400895934,-0.005104436468716833,0.02234183817488855,-0.03462005661949352,-0.014535690265077839,0.15017903505412633,-0.006354131555379117,0.03867434075739906,-0.01223994865800404,0.023465084055767305,0.0022870735306355083,-0.016359216754574857,0.0015789500454015393,-0.05954885841312263,-0.006862626116911574,0.028311749494841054,0.039869794356312216,0.024514281162056895,-0.01810730064049526,0.09267511506638848,0.03304480163224621,-0.014627656538921396,0.013919082123099003,-0.008686587701021264,-0.002454380527131206,0.002909825957302159,0.08911965745766848,0.1201139705473202,0.02470440105792937,-0.07286376267652672,0.01324599321128117,0.019258527188946495,-1.12,3.07,-0.41,0.0
2015-04,-0.004332137388229573,-0.018412695990668415,-0.122783626595238,0.003959531649820436,-0.044909417716767486,-0.05815773360921095,0.0855928849007197,-0.12059548871679049,-0.12307257691992213,-0.037980798408272176,0.0991195446308264,-0.021065626503780188,-0.011369331616144396,0.02424410840920932,0.06606149842078812,0.021019456292382888,0.040933762729737255,0.034756629315209064,-0.013041609882901373,0.059076692505172,-0.08442433246456404,0.036186513494531614,-0.0019573111057588077,-0.049758799564433076,-0.13180388508820562,-0.01619470765156117,0.013319283267472004,-0.022847153196763115,0.00870407652415417,-0.05365016113798826,-0.06145081757317572,-0.017953340159152842,0.031331613233513744,-0.03290247405046853,-0.020666036770113694,0.59,-3.04,1.83,0.0
2015-05,-0.00435098645934584,0.09896505363492714,0.017180304674594193,0.1069237759284909,-0.019673448705706753,-0.017232248668791472,-0.01795577357171685,-0.041310760562605964,0.21535722371275812,0.03112092163761271,0.047434904059161065,-0.039873424483270026,0.049431341314361665,-0.0064048884214323865,-0.05438498373543388,0.03877162954257529,0.05867895214072494,0.038074350893132713,0.04301865040257358,0.0554118957115024,-0.08653851127682222,0.022330439736816254,0.014054594372489237,0.023376970154045384,-0.006217561483336187,0.04317016177426458,0.014181938760847501,0.03661870713868476,-0.005273279344823023,0.0049624335496945005,0.1854742613588245,0.030817453041565912,0.07468356361872042,0.0446537102188489,0.035089786832344094,1.36,0.92,-1.12,0.0
2015-06,-0.06336481871018773,-0.05547375947401634,-0.045206154264809895,-0.041567740890541494,-0.01280958580294167,-0.06913787547616979,-0.005860290691378611,0.01069171962265325,0.06716227016118737,0.024418832458178663,-0.052486316782174414,-0.010547122386778351,-0.016104641833249667,-0.08772424443228477,0.02576573014770256,0.04095787900057335,-0.11723735100152965,-0.03245323891783758,-0.0679898897636273,0.05880295145680847,-0.10688256858347056,-0.06503536535379106,-0.00805801782671689,-0.030022229910373288,0.05057347747240315,-0.00041802606862550995,-0.017053206180225988,-0.04566589064883686,-0.03180725833019582,-0.03576237205095878,-0.04809804413747032,0.021281989526447997,0.004240289798367325,-0.01977317077634555,-0.01630934245352944,-1.53,2.9,-0.78,0.0
2015-07,0.061430762555771956,-0.09129148445975954,-0.09677412952406095,0.06526236641074634,0.03928775158797215,0.018506261127119394,-0.07297810025556939,0.12437894233283142,-0.12773636912376496,0.07236846077470505,0.09807088055948565,-0.011992025478416046,0.01938347955048969,0.04331796867776028,-0.007945599473109244,0.012057784403449956,-0.04832344870702521,0.049617943500686046,-0.025675834039406653,0.039999969734633156,0.09398611653098876,0.03565783133274647,0.10739243715650293,0.08329972607690372,0.028287826581397946,0.026450587965880512,-0.04163771229346436,0.009962959624767675,0.012941792844729072,0.07278079817387062,-0.08097983120788854,-0.000992332278952679,0.0403471114921532,-0.08929103188493448,0.1443627955893354,1.54,-4.2,-4.07,0.0
2015-08,-0.11330889629305518,-0.04234529647122531,-0.07315670582444478,0.11012012967899443,-0.09357013015534499,-0.08030500992786727,-0.027851899892016307,-0.038774072153080374,-0.11992009642214785,-0.0895349834225001,-0.03277047982656922,-0.06473365091609973,-0.04672223422710453,-0.05889281666425161,-0.03655860608672101,-0.05455399737091471,-0.014162343233405816,-0.18927859769747646,-0.05441020027899146,-0.04672598080525758,0.013812154405032029,-0.0866689209681979,-0.11208924286770294,-0.11850932814319681,-0.0014478175816126093,-0.07190871396057197,-0.12237512546755769,-0.07902512624098512,-0.04678134777622078,-0.07348465794144077,-0.08696560942890152,-0.08318853366619494,-0.046674177362871716,-0.09951140076885245,-0.10431537295012816,-6.04,0.36,2.8,0.0
2015-09,-0.054530417718264834,0.009846029914984067,-0.0870106003062664,0.07893818704608457,0.0020661485123496526,0.04427592515495138,-0.1449503071320265,0.005190545343868758,-0.12135452900727384,-0.05781248125713345,0.013455925531540514,-0.021629429935843936,0.011968081380209217,-0.020337911049755575,-0.0773666416036255,0.040789239404031896,0.056061612571659314,0.03498542274052485,-0.027540988609438988,-0.05435142291452666,0.03651226497905302,-0.0828225957744746,-0.017514893676029986,-0.021279624516805873,-0.0879651835594849,-0.021071178012139202,-0.0012376521010224462,-0.12911920886924533,-0.10815546030327372,0.014363749025927186,-0.03594733193474198,-0.03575297292226076,0.01939450611398197,-0.0817507134707004,-0.03986140330432553,-3.07,-2.63,0.58,0.0
2015-10,0.09991250531701867,0.06576846471384723,0.14159298412492527,0.12528323108940054,0.13073700477246453,0.06292227071140566,0.1167380229829671,0.02360576132984238,0.09680988464532625,0.023839089369165123,0.0851499608595867,0.0913780952600487,0.09580125018761976,-0.0035132131868153005,0.052608674248236786,0.04046514389527811,0.12342406423474439,0.09780282034000876,-0.005225916636645955,0.044076162662131324,0.21687696638914855,0.10670174652733899,0.1268079554595274,0.1756660203560385,-0.028616899391154527,0.011883466639615925,-0.1693514510188756,0.19772870897107242,0.07098265190345021,0.15360928951866581,-0.08276928270372486,0.04353941343240697,0.029234389346603384,0.1672246597562561,0.01901325944725163,7.75,-1.87,-0.45,0.0
2015-11,0.10752122758903138,0.025116469778073025,0.11926058112145732,0.08342927692497626,-0.017694402960619193,-0.006833536915206273,-0.004658122315953528,-0.0281060395710252,-0.029085399387198563,-0.047479272113427284,-0.0006066896326842874,-0.03241056598991421,-0.03192094845679894,0.006089699425093409,0.06109351143329489,0.054356196362936204,0.026875364176275562,0.02843063362814391,-0.028978124607888067,-0.0040527131631143964,-0.008857201108297685,-0.030186627752575967,0.046567205172866055,0.06564605646275123,0.06273865920986643,0.05816529886711175,0.09646934698303178,0.034628723447053034,0.041342852507430417,0.01907939110609025,0.07483167968869231,0.03956924214341817,0.12714155347266431,-0.009956098342567055,-0.007675974533967733,0.56,3.6,-0.38,0.0
